COD. ENCUESTA;COD. ENCUESTA;COD. ENCUESTA;ENCUESTA;PERIODO;PAIS;PUNTO CÓDIGO;PUNTO NOMBRE;SECCIÓN CÓDIGO;SECCIÓN NOMBRE;FECHA ENCUESTA;24310;motivo-ins;24308;;24307;;24312;;25002;;24311;Indíquenos el porqué de su calificación (motivo-nps);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20171;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4613;REINA VICTORIA;3253;CAJA UNIVERSAL;14-Oct-2022;10;por el trato de las personas. ;10;;10;;SI;;FÁCIL;;10;"Porque la atención es buena en el trato a la persona.
Del personal la última vez que estuve digamos con una información adicional y me atendieron enseguida que regrese. 
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20055;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4611;PLAZA ALEGRIA;3253;CAJA UNIVERSAL;14-Oct-2022;10;Porque fueron muy amables me atendieron rápido no hay ningún problema.;10;;10;;SI;;MUY FÁCIL;;10;"Porque la atención es más rápida no tenemos que hacer mucha cola es más rápida, es más ágil, y lo que más me gusta es que nos atienden rápido.
Lo que me gustaría que implemente un servipagos más al norte  o sea por el Condado, porque tenemos que salir a la Plaza Alegría que es muy lejos por ahí no hay bancos no hay nada y nos toca ir al condado Shopping y por ahí tampoco hay servipagos, el que nosotros tenemos es en Carcelén y el otro es en la Plaza Alegría, para nosotros es sumamente lejos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;21488;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4614;SANGOLQUI;3253;CAJA UNIVERSAL;14-Oct-2022;10;Porque he recibido una buena atención.;10;;10;;SI;;MUY FÁCIL;;10;Porque esta abierto hasta tarde ya que otra instituciones no trabaja ni feriados ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20025;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4612;PRENSA;3253;CAJA UNIVERSAL;14-Oct-2022;10;Los chicos son muy rápido y amable;10;;10;;SI;;MUY FÁCIL;;10;Porque se puede hacer transacciones y son rápidos y muy amables.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;18422;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4637;LOJA;3253;CAJA UNIVERSAL;13-Oct-2022;10;Por la agilad en este caso, pero de ahí le digo que será porque es horas pico es mucha afluencia de personas y solo hay a veces  que están solo dos cajeros sobre todo en las quincenas deberían estar todas las cajas habilitadas, ese es el inconveniente de ahí del resto es rápido.;10;;10;;SI;;MUY FÁCIL;;10;Porque tiene múltiples convenios con bancos y  cooperativas y servicios públicos en este caso la comisión es un poquito económica, porque la mayoría utilizamos  los pagos de los servicios bancarios que nos ofrecen y es un poquito caro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;39075;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4615;SOLANDA;3253;CAJA UNIVERSAL;21-Oct-2022;10;"Porque cuando me he ido el guardia es atento y me da la preferencia porque soy de la tercera edad.
";10;;10;;SI;;MUY FÁCIL;;10;"Porque eso le digo le atienden bien, es rápido.
Los días 15 y 30 se aglomera muchas personas. Atiendan todas las ventanillas. 
La señoritas son muy amables.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;50719;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4582;QUEVEDO;3253;CAJA UNIVERSAL;31-Oct-2022;9;Ahora a mejorado la atención, antes era muy negligente por eso dejé de acudir a la agencia, pero ahora la atención es rápida.;9;;9;;SI;;FÁCIL;;8;"Porque le falta más atención.
Que los cajeros deberían tener más agilidad. Hay mucha cola y no son rápidos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;18477;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4637;LOJA;3253;CAJA UNIVERSAL;13-Oct-2022;10;Porque las veces que ido si a sido de una manera oportuna y dan una buena atenció.;8;;8;;SI;;MUY FÁCIL;;9;"Porque justo me enviaron una tarjeta de crédito en servipagos  y me habían dicho que se expiraba no se si es cuestión de servipagos.
Porque no me dieron buena información.
Porque me habían dicho de otra manera y después me dijeron de  otra manera y no entiendo porque me dijeron que vaya ahí y firme y yo le pregunte y me dijeron no se y de ahí me descontaron bastante.
Porque yo creo que es la única empresa que esta al momento a nuestro alcance y que averiguar bien cuando vayan a firmar como en este caso papeles de otras instituciones.
Es normal como cualquier otra empresa  no tiene ni un plus o algo me atienden y firma nada más.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20464;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4632;POLICENTRO;3253;CAJA UNIVERSAL;14-Oct-2022;10;Por la atención siempre oportuna, el orden, la seguridad, en fin o sea tienen unos bueno protocolos de servicio y  también los horarios.;10;;10;;SI;;FÁCIL;;10;Por el servicio y por los horarios es la disponibilidad de los horarios, y la disponibilidad de encontrar el servicio en muchos sectores que permiten una solución a lo que uno hace. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;52178;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4629;LOS RIOS;3253;CAJA UNIVERSAL;27-Oct-2022;10;Porque la atención fue rápida, fui muy bien atendida.;10;;10;;SI;;FÁCIL;;10;La rapidez, la amabilidad del personal, no tuve ningún inconveniente, no tendría ninguna sugerencia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;18578;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4636;LA LIBERTAD;3253;CAJA UNIVERSAL;13-Oct-2022;10;Porque la atención es muy buena siempre nos atienden con amabilidad.;10;;10;;SI;;MUY FÁCIL;;10;Por la facilidad de realizar los tramites sin tanto tramite, sin tanto papeleo, sin tanta cola , sin tanta espera. la atención es rápida y muy ágil a demás los chicos son bien amables para atender al cliente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;30419;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4815;SAN EDUARDO;3253;CAJA UNIVERSAL;19-Oct-2022;10;Porque no he tenido ningún inconveniente es rápida la atención;10;;10;;SI;;MUY FÁCIL;;10;Porque como le digo por su atención con lo que es muy importante el saludo de cuando uno llega y hasta el momento no he tenido ningún inconveniente, y por la ágildad la rapidez con la que atienden .;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;19554;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;5261;MULTIPLAZA LOS CHILLOS;3253;CAJA UNIVERSAL;13-Oct-2022;10;Porque son super rápida al momento que yo hago retiros o depósitos es super rápido no me demoro absolutamente nadad, igual super atentas, super eficaz en lo que hacen.;10;;10;;SI;;FÁCIL;;10;"Porque son super rápidos en eso la atención es mucho más rápida, lo que si es pocos cajeros los que hay varias cajas que existen, pero eso es algo que creo que es un poco tedioso, porque hacen filas largas, pero solo hay dos cajeros abarcan unas treinta personas como máximo yo creo que eso si doy de recomendación de mejorar eso.
Porque solo hay dos cajeros de dos cajas abiertas de las diez que existen  dos de las ocho que existen eso si sería un poquito recomendable que mejoren que las cajas estén abiertas, porque yo me ido aquí solo hay dos cajeros, en Sangolquí solo hay dos cajeros habiendo como seis solo hay dos lo que si son un poco rápidos no tengo ninguna queja de ellos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20507;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4582;QUEVEDO;3253;CAJA UNIVERSAL;14-Oct-2022;9;Cuando no hay gente es buena la atención.;9;;9;;SI;;FÁCIL;;10;"Es mas rápido.
Solo que cuando hay mucha gente se demorar.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
